brianpid,season,position,age,team,unitid,college,franname,wt,ht,birthdate,drafted_team,draft_round,draft_pkoverall,nfldraftyear,suppdraft,undrafted,nfldraft,birthday,transfercollege,drafted_fran,major_award,all_american,combineonly,combinepart,race,divfbs,bcsschool,birthcity,birthstate,captain,g,gs,av,law,lgeaction,tmaction,alcohol,drugs,driving,harm_othr,domestic,weapon,othr_crm,chrg_drop,guilty,acquit,probn,jail,susp_s,fine,other_punish,plea,divprog,team_suspend,team_boot,team_fine,nfl_suspend,nfl_boot,nfl_fine,nfl_counsel,intincident,finalsusp,indefinite,finalfinegame,finalfineextra,cutfromteam,otherdocking,lgepunished,teampunished,directtolge,directtoteam,directtoplayer,directtofans,directtoref,directtocoach,directtomedia,directtosociety,perscond,subabuse,pedpolicy,cdtt,cdtl,fieldfight,fieldhit,fieldnonv,fieldunsport,uniformequp,leaguerules,undisclosed,contract,fieldmis,oncond,playerappealed,appealsuccess,yrs,nflexp,probowl,apcomepoy,apdefpoy,apdefroy,apmvp,apoffpoy,apoffroy,bertbell,pfwacomepoy,pfwamvp,sbmvp,wpmoy,seasontotalaward,cpi_urban,deflator,real_basesal,real_signbonus,real_totbon,real_totsal,real_capvalue,fips,winpct,fbplay,sbchamp,msa_pop,real_msainc,oid,owner,owner_fnd,single,partner,corp,sportent,govt,lgecontrol,familyowned,gen2,gen3,winpctlag1
AbiaVi99,2007,de,21,Philadelphia Eagles,152080,Notre Dame,Philadelphia Eagles,267,6-4,1/14/1986,Philadelphia Eagles,2,57,2007,0,0,1,14jan1986,,Philadelphia Eagles,0,0,0,1,2,1,1,Baltimore,MD,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,207.342,.84587955,0,0,0,0,0,37980,.5,0,0,5882126,316333129728,LuriJe0,Jeffrey Lurie,1994,1,0,0,0,0,0,0,0,0,.625
AbouOd00,2013,G,,NY Jets,234076,Virginia,New York Jets,,,6/5/1991,NY Jets,5,141,2013,,,1,,,,0,0,0,1,2,1,1,Brooklyn,NY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,232.957,.95037943,426145.59,52347.512,0,269103.03,478493.09,35620,.5,0,0,19994144,1259572559872,JohnWo0,Robert Wood Johnson IV,2000,1,0,0,0,0,0,0,0,0,.375
AbraCh00,2014,FB,,,134097,Florida State,Detroit Lions,,,5/22/1991,,,,2014,,,,,,,,,,,2,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,0,2588.5376,0,2588.5376,2588.5376,19820,.68800002,1,0,4301480,199164248064,FordMa0,Martha Firestone Ford,2014,1,0,0,0,0,0,0,0,0,.43799999
AbraJo00,2000,LB,22,NY Jets,218663,South Carolina,New York Jets,256,6-4,5/6/1978,NY Jets,1,13,2000,0,0,1,06may1978,,New York Jets,0,0,0,1,2,1,1,Timmonsville,SC,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,172.2,.70251304,0,0,0,0,0,35620,.56300002,0,0,18356204,1039662317568,JohnWo0,Robert Wood Johnson IV,2000,1,0,0,0,0,0,0,0,0,.5
AbraKe20,1997,db,23,Detroit Lions,196413,Syracuse,Detroit Lions,175,5-8,2/28/1974,Detroit Lions,2,54,1997,0,0,1,28feb1974,,Detroit Lions,0,1,0,,2,1,1,Tampa,FL,0,15,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,160.5,.65478134,0,0,0,0,0,19820,.56300002,0,0,4440400,192046219264,FordWi0,"William Clay Ford, Sr.",1961,1,0,0,0,0,0,0,0,0,.31299999
AchoEm00,2012,ILB,,Cleveland Browns II,228778,Texas,Cleveland Browns,,,11/10/1990,Cleveland Browns II,6,204,2012,,,1,,,,0,1,0,1,2,1,1,Dallas,TX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,229.59399,.93665957,416373.25,21000.158,0,437373.41,437373.41,17460,.31299999,0,0,2064321,97047003136,HaslJi1,Jimmy Haslam III,2012,1,0,0,0,0,0,0,0,0,.25
AchoSa00,2011,ROLB,23,Arizona Cardinals,228778,Texas,Arizona Cardinals,257,6-1,9/6/1988,Arizona Cardinals,4,103,2011,0,0,1,06sep1988,,Arizona Cardinals,0,0,0,1,2,1,1,Dallas,TX,0,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,129248.15,0,20899.695,537892.25,38060,.5,0,0,4263236,171114135552,BidwBi0,Bill Bidwill,1962,1,0,0,0,0,0,0,1,0,.31299999
AckeKe00,2014,CB,,San Francisco 49ers,228246,Southern Methodist,San Francisco 49ers,,,2/6/1992,San Francisco 49ers,6,180,2014,,,1,,,,0,0,0,0,2,1,0,Portland,OR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,313730.75,31217.764,0,220077.47,344948.53,41860,.5,0,0,4595980,354713567232,YorkJe0,Jed York,2009,1,0,0,0,0,0,0,1,0,.75
AdamAa00,2013,G,,,156620,Eastern Kentucky,Cleveland Browns,,,5/16/1989,,,,2013,,,,,,,,,,,1,0,0,Lake Worth,FL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,232.957,.95037943,3156.634,0,0,3156.634,3156.634,17460,.25,0,0,2064854,96242237440,HaslJi1,Jimmy Haslam III,2012,1,0,0,0,0,0,0,0,0,.31299999
AdamAn01,2016,FS,24,NY Giants,129020,Connecticut,New York Giants,202,5-11,10/28/1992,,,,2016,0,1,0,28oct1992,,,,,,,2,1,0,Red Oak,GA,0,14,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,419602.56,0,0,419602.56,419602.56,35620,.68800002,1,0,20153634,1358333739008,mara-tisc-100,John Mara and Steve Tisch,2005,0,1,0,0,0,0,1,0,1,.375
AdamAn20,2003,ldt,23,San Francisco 49ers,214777,Penn State,San Francisco 49ers,300,6-0,6/18/1980,San Francisco 49ers,2,57,2003,0,0,1,18jun1980,,San Francisco 49ers,0,0,0,1,2,1,1,Detroit,MI,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,184,.75065273,0,0,0,0,0,41860,.43799999,0,0,4145965,267084922880,deyo-york-100,Denise DeBartolo York and John York,2000,0,1,0,0,0,0,1,0,0,.625
AdamBl20,2003,CB,24,Jacksonville Jaguars,201885,Cincinnati,Jacksonville Jaguars,182,5-9,10/15/1979,Detroit Lions,7,220,2003,0,0,1,15oct1979,,Detroit Lions,0,0,0,0,2,1,0,Miami,FL,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,184,.75065273,0,0,0,0,0,27260,.31200001,0,0,1193042,51356418048,WeavWa0,Wayne Weaver,1993,1,0,0,0,0,0,0,0,0,.375
AdamD.00,2014,RB,,,209807,Portland State,Los Angeles Chargers,,,9/27/1990,,,,2014,,,,,,,,,,,2,0,0,Norcross,GA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,91323.609,690.62183,0,92014.227,92014.227,41740,.56300002,0,0,3265700,173037649920,SpanAl0,Alex Spanos,1984,1,0,0,0,0,0,0,0,0,.56300002
AdamDa00,2011,WR,21,Carolina Panthers,100858,Auburn,Carolina Panthers,185,6-3,1/5/1990,,,,2011,0,1,0,05jan1990,,,,,1,1,2,1,1,Kennesaw,GA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,0,0,408644.13,408644.13,16740,.375,0,0,1795472,78699053056,RichJe0,Jerry Richardson,1993,1,0,0,0,0,0,0,0,0,.125
AdamDa01,2014,WR,22,Green Bay Packers,110556,Fresno State,Green Bay Packers,212,6-1,12/24/1992,Green Bay Packers,2,53,2014,0,0,1,24dec1992,,Green Bay Packers,0,1,0,1,2,1,0,Redwood City,CA,0,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,434874.31,305617.25,0,-1101974.6,740491.56,24580,.75,1,0,314498,14491267072,packers-inc-100,Green Bay Packers Inc,1923,0,0,0,0,1,0,0,0,0,.53100002
AdamFl00,1998,RG,23,Dallas Cowboys,171100,Michigan State,Dallas Cowboys,335,6-7,5/18/1975,Dallas Cowboys,2,38,1998,0,0,1,18may1975,,Dallas Cowboys,0,0,0,,2,1,1,Chicago,IL,0,16,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,163,.66498041,0,0,0,0,0,19100,.625,0,0,4917993,224004325376,JoneJe0,Jerry Jones,1989,1,0,0,0,0,0,0,0,0,.375
AdamGa99,2007,DE,24,Tampa Bay Buccaneers,217882,Clemson,Tampa Bay Buccaneers,258,6-5,6/8/1983,Tampa Bay Buccaneers,1,4,2007,0,0,1,08jun1983,,Tampa Bay Buccaneers,0,1,0,1,2,1,1,Greenwood,SC,0,16,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,207.342,.84587955,0,0,0,0,0,45300,.56300002,1,0,2726780,121075834880,GlazMa0,Malcolm Glazer,1995,1,0,0,0,0,0,0,0,0,.25
AdamJa00,2017,SS,22,NY Jets,159391,Louisiana State,New York Jets,214,6-0,10/17/1995,NY Jets,1,6,2017,0,0,1,17oct1995,,New York Jets,,,0,1,2,1,1,Carrollton,TX,0,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9115,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,245.12,1,465000,3582038,0,-10281116,4047038,35620,.31299999,0,0,,,JohnWo0,Robert Wood Johnson IV,2000,1,0,0,0,0,0,0,0,0,.31299999
AdamJe00,2012,G,,,190150,Columbia,Miami Dolphins,,,9/6/1989,,,,2012,,,0,,,,,,,,1,0,0,Berwyn,IL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,229.59399,.93665957,36512.73,1423.1425,0,37935.875,37935.875,33100,.43799999,0,0,5788070,282494533632,RossSt0,Stephen Ross,2008,1,0,0,0,0,0,0,0,0,.375
AdamJe01,2016,te,24,NY Giants,218663,South Carolina,New York Giants,244,6-5,12/31/1992,NY Giants,6,184,2016,0,0,1,31dec1992,,New York Giants,,,0,1,2,1,1,Pinewood,SC,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,459586.59,36473.813,0,350162.09,496060.41,35620,.68800002,1,0,20153634,1358333739008,mara-tisc-100,John Mara and Steve Tisch,2005,0,1,0,0,0,0,1,0,1,.375
AdamJo01,2012,WR,23,Carolina Panthers,106397,Arkansas,Carolina Panthers,177,5-11,11/22/1989,Carolina Panthers,4,104,2012,0,0,1,22nov1989,,Carolina Panthers,0,1,0,1,2,1,1,Little Rock,AR,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,229.59399,.93665957,416373.25,124792.41,0,541165.69,541165.69,16740,.43799999,0,0,2295310,108726829056,RichJe0,Jerry Richardson,1993,1,0,0,0,0,0,0,0,0,.375
AdamJo02,2013,CB,24,Buffalo Bills,171100,Michigan State,Buffalo Bills,185,5-10,6/9/1989,,,,2013,0,1,0,09jun1989,,,,,1,1,2,1,1,Des Plaines,IL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,232.957,.95037943,146217.39,0,0,146217.39,146217.39,15380,.375,0,0,1136008,51027959808,WilsRa1,Ralph Wilson,1960,1,0,0,0,0,0,0,0,0,.375
AdamKe02,2017,OLB,,Pittsburgh Steelers,172699,Western Michigan,Pittsburgh Steelers,,,6/8/1995,Pittsburgh Steelers,7,248,2017,,,1,,,,,,0,0,2,1,0,Salisbury,NC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,245.12,1,348000,16504,0,298487,364504,38300,.81300002,1,0,,,RoonDa0,Dan Rooney,1988,1,0,0,0,0,0,1,1,0,.68800002
AdamKe20,2001,LB,22,Dallas Cowboys,217882,Clemson,Dallas Cowboys,223,5-11,11/22/1979,Tennessee Titans,7,232,2001,0,0,1,22nov1979,,Tennessee Titans,0,0,0,1,2,1,1,Norwood,MA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,177.10001,.7225033,0,0,0,0,0,19100,.31299999,0,0,5332266,254133698560,JoneJe0,Jerry Jones,1989,1,0,0,0,0,0,0,0,0,.31299999
AdamKy00,2011,TE,23,Chicago Bears,243780,Purdue,Chicago Bears,250,6-4,1/19/1988,,,,2011,0,1,0,19jan1988,,,,,,,1,1,1,Wellesley,MA,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,1817.649,0,410461.78,410461.78,16980,.5,0,0,9504753,476204498944,McCaVi0,Virginia Halas McCaskey,1983,1,0,0,0,0,0,0,1,0,.68800002
AdamMi00,1997,WR,23,Pittsburgh Steelers,228778,Texas,Pittsburgh Steelers,185,5-11,3/25/1974,Pittsburgh Steelers,7,223,1997,0,0,1,25mar1974,,Pittsburgh Steelers,0,0,0,,2,1,1,Dalworth,TX,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,160.5,.65478134,0,0,0,0,0,38300,.68800002,1,0,2460208,98046361600,RoonDa0,Dan Rooney,1988,1,0,0,0,0,0,1,1,0,.625
